"","Day","GAMLSS_LINEAR","NAIVE","True"
"1","2020-09-01","23.1119641651803","24.7370782438466","10.0791562385866"
"2","2020-09-02","13.8727918620412","32.2575682054296","12.9965271128717"
"3","2020-09-03","16.4375220495173","35.5860840938971","18.0288282692669"
"4","2020-09-04","21.0943327772387","35.5585354718324","17.4402248062457"
"5","2020-09-05","20.6123174566061","31.9923043871597","20.7030726328518"
"6","2020-09-06","24.4106337849154","31.5202036695107","22.6469721764696"
"7","2020-09-07","25.4931741174613","31.2835498951244","26.5879075991509"
"8","2020-09-08","28.8672485707758","30.0351120530356","21.0685955497178"
"9","2020-09-09","24.3235024378662","32.7124813457643","6.04145926306512"
"10","2020-09-10","11.247660666145","35.2649031100594","16.0836932572728"
"11","2020-09-11","19.1506869572919","36.2190333812068","18.3322672463985"
"12","2020-09-12","20.8921752278873","34.4828499597074","21.3347662136848"
"13","2020-09-13","23.5197434806752","33.6912365372819","23.5789705878072"
"14","2020-09-14","25.2205823108176","34.7499018351656","25.3622603168703"
"15","2020-09-15","26.7076342739465","30.8035301730587","26.6124651453578"
"16","2020-09-16","27.9044525801246","33.5150838197641","28.3966230609523"
"17","2020-09-17","29.3964532599152","31.8126825252887","28.2152151058631"
"18","2020-09-18","29.3589357415693","27.8260014978117","27.7609517519274"
"19","2020-09-19","28.7892028932078","28.2381613019467","30.4697149345898"
"20","2020-09-20","31.2823441241087","27.3907330107383","30.6736847915334"
"21","2020-09-21","31.8289983140458","27.974946443609","23.804440541524"
"22","2020-09-22","25.8316803590052","33.1005313191285","28.239284417782"
"23","2020-09-23","29.3851687566722","35.5237165473357","33.3811927383169"
"24","2020-09-24","33.4852517611935","37.9189898007581","34.9771174102863"
"25","2020-09-25","35.0223382552825","35.9414696846705","32.5188366171018"
"26","2020-09-26","32.9981747615608","36.2841664506841","35.5608378598136"
"27","2020-09-27","35.7352897005298","35.7348625814429","39.6201279437662"
"28","2020-09-28","39.1037487376695","35.9228974809206","44.4256559273071"
"29","2020-09-29","43.1081893618767","39.7694238288234","50.6704547696279"
"30","2020-09-30","48.4257795328873","35.6115926609624","58.4520452317781"
"31","2020-10-01","55.2804413820375","32.354688300254","54.1196952546613"
"32","2020-10-02","51.8422347255441","32.1816028714692","51.4977896796683"
"33","2020-10-03","49.2398851036563","30.164533100161","48.8560946064285"
"34","2020-10-04","46.8914438110904","29.0665596676258","42.7537455082416"
"35","2020-10-05","41.8279014359158","26.2347385893388","39.0741532251636"
"36","2020-10-06","38.6985493088617","29.5305935337231","40.6726964487224"
"37","2020-10-07","40.3263545801803","27.2603420626168","42.9007589902238"
"38","2020-10-08","42.0887435201301","37.4941838043643","34.7316507740156"
"39","2020-10-09","35.0928352671168","37.5665749574702","38.4907036251237"
"40","2020-10-10","38.0978459005549","37.1226996241376","36.5624390108327"
"41","2020-10-11","36.5228304519137","35.8332788847893","36.3032779543226"
"42","2020-10-12","36.4123036698246","38.7884172921548","42.0397849650941"
"43","2020-10-13","41.6072869870069","37.5393389880956","42.4848412570186"
"44","2020-10-14","42.3204409428394","35.5470906818106","38.2871923725579"
"45","2020-10-15","38.3942905902692","34.5709144645936","43.9828815438027"
"46","2020-10-16","43.1952074508418","34.8899703414711","43.0003573482849"
"47","2020-10-17","42.5534204003635","37.8613185804819","42.5794582449656"
"48","2020-10-18","42.118556473791","40.4917523957436","40.5027421236075"
"49","2020-10-19","40.4276566392696","37.2294060019961","38.4320906804148"
"50","2020-10-20","38.7148587765315","36.9392992162455","35.564585762946"
"51","2020-10-21","36.3288650727632","36.536669184324","36.2784683341032"
"52","2020-10-22","37.1936059660339","37.2313571652635","38.9705151514062"
"53","2020-10-23","39.4759237738368","37.4629210989673","41.2634453483065"
"54","2020-10-24","40.9405421226484","37.8895660654914","41.8431310905913"
"55","2020-10-25","41.6327689062893","33.2070417751939","41.5853773961109"
"56","2020-10-26","41.4887345966896","38.8923335651998","44.8860140352706"
"57","2020-10-27","44.6955052584715","40.7771502216869","43.7351194690588"
"58","2020-10-28","43.9804076521452","36.5113939393212","43.4171109914601"
"59","2020-10-29","43.7189359684163","34.9411112819795","36.4030688143219"
"60","2020-10-30","37.4160594690633","39.3059148745212","37.4571824106619"
"61","2020-10-31","38.1397993540197","34.0164000715148","40.2108440323852"
"62","2020-11-01","40.5843115082491","39.2938336882655","43.9063855000757"
"63","2020-11-02","43.3177602964383","40.0200992332159","35.8137567470962"
"64","2020-11-03","37.0534658067003","38.8127613764769","38.1545819247174"
"65","2020-11-04","39.2715598622374","38.9020423909215","37.019487983746"
"66","2020-11-05","38.3369076544896","37.620751007755","40.2749963861163"
"67","2020-11-06","40.8063923196398","35.5911567942986","38.7846531127037"
"68","2020-11-07","39.5855705502917","37.7289487726716","38.6228756523206"
"69","2020-11-08","39.2668353168357","42.9257547184035","36.9338003428094"
"70","2020-11-09","37.7474300918384","41.533664586572","37.4253969086242"
"71","2020-11-10","38.436772394349","40.4283085534089","41.1046361692987"
"72","2020-11-11","41.4717326631077","40.1158516678327","39.1740086057946"
"73","2020-11-12","39.9412237955128","40.7260452826004","38.3328545057634"
"74","2020-11-13","39.1054497176987","41.5065460051147","35.6472331339732"
"75","2020-11-14","36.6705309010631","42.9035846251048","33.5130874957616"
"76","2020-11-15","34.7377482106109","41.8988816060014","33.0010256941054"
"77","2020-11-16","34.5425357984133","43.1647381739958","32.3010846265495"
"78","2020-11-17","33.8743766399213","42.3059775477757","28.4128192442041"
"79","2020-11-18","30.5787068057954","44.348481661613","27.9661781933368"
