"","Day","Q.01_LOSS","Q.05_LOSS","Q.1_LOSS","Q.25_LOSS","Q.5_LOSS","Q.75_LOSS","Q.95_LOSS","Q.98_LOSS","Q.99_LOSS"
"1","2020-09-01","0.00104222297432344","0.00168890361293648","0.00157802555548448","0.27809240407823","1.6825255659449","3.07223731175034","6.63162074475294","9.89225691050401","13.4686899769983"
"2","2020-09-02","0.00123068506067691","0.00324518905317801","0.00498376230207411","0.00847434755741197","0.0105428258154506","0.00557765747095307","2.94425522720137","6.37942566893054","10.1617324367439"
"3","2020-09-03","0.00103275616721343","0.00287103308579122","0.00451842151065416","0.00788506499930825","0.00968201326619303","0.00365161690351005","3.75822522963737","7.81075359553704","12.2936753622948"
"4","2020-09-04","0.000841200781249791","0.00272487824229623","0.00459480399213205","0.0087752056904106","0.0115358862808118","0.00453621241628913","4.85628205057602","10.1823772224382","16.0966866577397"
"5","2020-09-05","0.00172848365793548","0.0065071537127273","0.0118222078670602","0.0259712855490575","0.044633833478888","0.0523245226113952","0.00790855130987676","5.08600399884812","11.6417293149192"
"6","2020-09-06","0.0028485602049928","0.00740082089627266","0.0113718919465848","0.0199061526053892","0.0279796372923932","0.0265691581222685","0.994005243086407","4.89357220654507","9.11972240658092"
"7","2020-09-07","0.0020315053774922","0.00453868400569545","0.00618483351040294","0.00789837616845899","0.00393413155396079","1.65428614682419","8.10426470431341","14.0775165137956","20.6443783005175"
"8","2020-09-08","0.00198674707284701","0.00408051146442468","0.00520671666847252","0.00557355452690347","0.000441073162133314","1.86485001309541","6.46919787899028","10.5628842789167","15.0252851023713"
"9","2020-09-09","0.000757838886856457","3.45395091819117","6.22633557131449","8.99330256458197","10.9350462054409","12.6692506820378","16.7029160968085","20.2724056144986","24.1583070472525"
"10","2020-09-10","0.00127498120180445","0.00339548589525678","0.00524454486553868","0.0090069935387812","0.0113684910722709","0.00634398155817345","3.03926633873364","6.66532515666413","10.6595090479569"
"11","2020-09-11","0.000758131090839567","0.00232677267260771","0.00381719241234972","0.00693353009508389","0.00822183122563006","0.000545761343942956","4.92918338565573","9.80496996172299","15.2180836172758"
"12","2020-09-12","0.000837038342798768","0.00242381677013323","0.00387197179512932","0.00678442862459596","0.00779033400044757","0.000312940511499526","4.65136293944291","9.1988916106259","14.2423928449291"
"13","2020-09-13","0.00124571809461258","0.00277729897703669","0.00379607147714432","0.00497863325609188","0.00317835672811169","0.685500311615216","3.99889895016035","7.01432671418481","10.317543860907"
"14","2020-09-14","0.000874126218585859","0.00223789533982718","0.00332755053990187","0.00506956984648609","0.00417536002133371","0.617803957090189","4.95131666174257","9.11152663588889","13.7175327272219"
