"","Day","GAMLSS_LINEAR","NAIVE","True"
"1","2020-09-01","34.0100155900345","35.689913807947","31.2813243203884"
"2","2020-09-02","31.3350513729908","34.4390516390729","32.1555620064725"
"3","2020-09-03","32.0231977789346","34.3775150993377","34.2207235113269"
"4","2020-09-04","35.398932825971","32.7012115728477","45.5708061650486"
"5","2020-09-05","44.4017961520084","34.9672547682119","60.7614518770227"
"6","2020-09-06","54.9901945782055","30.9561372937294","61.2933891423948"
"7","2020-09-07","53.3311565584176","34.5147802310231","56.994699433657"
"8","2020-09-08","51.7698150799768","33.8752721947195","64.6060839644013"
"9","2020-09-09","54.2433890494016","34.0485949339934","36.6361841747573"
"10","2020-09-10","34.563957448329","37.678875709571","37.9006994660194"
"11","2020-09-11","35.8527291275588","41.8141355775578","31.9553372653722"
"12","2020-09-12","30.1964973718218","42.6838841089109","31.8717328640777"
"13","2020-09-13","29.6413864053923","34.0578184653465","29.4644781877023"
"14","2020-09-14","29.7029577891692","34.9092964191419","32.7521715372168"
"15","2020-09-15","31.752313656284","36.100841039604","37.4250783333333"
"16","2020-09-16","35.1503284661948","36.8440061221122","33.9933714886731"
"17","2020-09-17","32.79894901399","35.6280500990099","34.9840146440129"
"18","2020-09-18","34.0325663408062","39.4895998349835","32.7380822150883"
"19","2020-09-19","31.9083259417982","38.5640591749175","30.6807276886035"
"20","2020-09-20","30.5422543092575","32.7977538943894","33.9966898876404"
"21","2020-09-21","31.7162533901276","37.4063589273927","32.3484711717496"
"22","2020-09-22","30.3358857825569","38.7764234653465","32.9572982022472"
"23","2020-09-23","31.836456285367","39.2372390264026","34.1371944783307"
"24","2020-09-24","31.9508174374954","38.0351145874587","34.3708029695024"
"25","2020-09-25","33.1566412969925","35.2048457590759","34.9937581701445"
"26","2020-09-26","34.5376246764557","37.433990990099","33.7142196308186"
"27","2020-09-27","34.1003766862124","37.7299758580858","37.8057902086677"
"28","2020-09-28","37.0934568338135","36.5844934488449","39.3435468057785"
"29","2020-09-29","37.7759249558317","36.7283711386139","42.4532141091493"
"30","2020-09-30","40.0674799539898","32.6474406270627","48.7925626805779"
"31","2020-10-01","45.2702520164198","39.7696908085808","47.9679273194222"
"32","2020-10-02","42.6056267743479","42.088793960396","39.7486088282504"
"33","2020-10-03","36.1350018027683","38.8526768646865","35.4429017335474"
"34","2020-10-04","32.5067780657469","34.7521434158416","34.1292434670947"
"35","2020-10-05","33.4440874869694","36.4736392079208","36.166895505618"
"36","2020-10-06","34.0823552845447","38.4998529537954","39.8291297752809"
"37","2020-10-07","35.9572778007554","40.0420101320132","39.5411761155698"
"38","2020-10-08","36.1949649335833","41.0595221947195","33.3133418138042"
"39","2020-10-09","31.5972419978836","40.9246327062706","32.8290560674157"
"40","2020-10-10","30.4258957643316","37.3807844719472","29.308928812199"
"41","2020-10-11","28.8825849524312","37.9964126732673","29.7613839165329"
"42","2020-10-12","31.094827573712","36.8111124917492","32.6278813322632"
"43","2020-10-13","31.9722897599666","33.7579761551155","37.6201251685393"
"44","2020-10-14","37.7874348001269","34.4927381188119","40.331824847512"
"45","2020-10-15","39.7414086419758","35.8460517986799","43.4136436597111"
"46","2020-10-16","41.4950471438972","39.4075378547855","47.6177802247191"
"47","2020-10-17","46.3026658517157","46.5129321287129","40.1747471268058"
"48","2020-10-18","37.3281209304535","46.5201181518152","36.9565224879615"
"49","2020-10-19","36.092441082881","42.0610455610561","39.8655786998395"
"50","2020-10-20","37.7037029522693","39.424157310231","40.3968187479936"
"51","2020-10-21","37.5170089185753","41.9511028052805","45.4036484430177"
"52","2020-10-22","41.608990256537","43.6409279372937","44.8552721829856"
"53","2020-10-23","39.8079494033208","44.1005955610561","43.7879669341894"
"54","2020-10-24","38.6474103581873","44.6385622277228","37.0003108186196"
"55","2020-10-25","33.7139974316453","40.1297951980198","37.634144847512"
"56","2020-10-26","35.701700587134","38.9497985148515","42.6773148717949"
"57","2020-10-27","40.0313268154265","38.7418584983498","45.2329775160256"
"58","2020-10-28","42.7402672552112","36.586993960396","45.1924293269231"
"59","2020-10-29","44.7383696847435","39.0805190759076","42.2447503525641"
"60","2020-10-30","40.289661085303","40.8379715511551","38.986492099359"
"61","2020-10-31","36.9289876658789","37.5365777062706","39.4143917788462"
"62","2020-11-01","36.9434806120144","38.2347213036304","39.112862676282"
"63","2020-11-02","37.8648766939943","40.2645799834984","41.9656080288462"
"64","2020-11-03","38.3180175838656","36.9818069141914","49.086577051282"
"65","2020-11-04","44.0801431673218","37.6669602805281","47.2651588301282"
"66","2020-11-05","42.5168783221757","38.9919794554455","47.2674378365385"
"67","2020-11-06","42.4656356972413","36.0119344389439","38.7705183333333"
"68","2020-11-07","36.0520314479438","40.2343071452145","37.3123942307692"
"69","2020-11-08","34.8859423152232","47.5660903465347","34.7975407211539"
"70","2020-11-09","35.726304469517","49.8238334158416","43.0969167628205"
"71","2020-11-10","39.7844836846532","53.8779164686469","42.634212724359"
"72","2020-11-11","39.727780183214","41.9426925577558","41.3111275641026"
"73","2020-11-12","38.7073283685798","41.2614645709571","39.5090462660256"
"74","2020-11-13","36.4989282476457","45.2116244389439","34.4714296474359"
"75","2020-11-14","33.5611150850817","42.702378679868","37.3874282371795"
"76","2020-11-15","34.4360087075791","39.3953028547855","39.6193091185897"
"77","2020-11-16","36.6040603489923","41.5325462376238","39.8584279326923"
"78","2020-11-17","36.5502683831254","40.9130502475248","37.2053131410256"
"79","2020-11-18","35.2921715666533","47.0718926567657","34.8988482371795"
"80","2020-11-19","33.9973610116018","46.5618369636964","40.7212884134615"
